Export_Continent,US_Dollar_Value,Tonnes
North America,987914,502.486
Latin America,3099902,1791.105
Asia,9807116,4177.098
Africa,7904541,3781.961
Europe,42352508,20173.603
Asia,71606918,32078.556
Africa,2520199,1200
Europe,9112,2.211
Africa,10816898,5467.229
Europe,7240479,3620.442
Europe,15025,3.943
Asia,538873,199.039
Europe,113719721,51390.675
Asia,4422126,2092.221
Europe,14638,2.432
Europe,4891,1.961
Europe,10411751,8571.948
Asia,2131549,904.649
Europe,303745,141.977
Europe,263130919,118445.421
Latin America,1803404,1049.403
Europe,50245197,13882.055
Oceania,1857786,696.056
Africa,375602,246.842
Europe,218174,95.39
Africa,126012074,63568.742
Europe,5660380,2653.467
Latin America,6867533,2798.907
Europe,14365561,7195.422
Europe,352503,151.618
Europe,357202,183.638
Europe,16518808,8039.503
Europe,21592017,9066.601
Europe,1697246,157.422
Asia,397248,211.394
Europe,85131,47.975
Europe,88194,15.016
North America,137951,24.453
Asia,62130123,27341.26
Europe,101918,111.557
Asia,164147,100.698
Oceania,1712528,657.44
Asia,11708341,6579.172
